,E61_WT_500uM,E61_WT_500uM,E61_WT_10uM,E61_WT_10uM,E61_WT_DMSO,E61_WT_DMSO,E61_WT_Control,E61_WT_Control
,time,counts,time,counts,time,counts,time,counts
179,1 days 05:50:00,381,1 days 05:50:00,448,1 days 05:50:00,298,1 days 05:50:00,246
180,1 days 06:00:00,388,1 days 06:00:00,463,1 days 06:00:00,301,1 days 06:00:00,262
181,1 days 06:10:00,383,1 days 06:10:00,453,1 days 06:10:00,304,1 days 06:10:00,257
182,1 days 06:20:00,383,1 days 06:20:00,465,1 days 06:20:00,306,1 days 06:20:00,247
183,1 days 06:30:00,376,1 days 06:30:00,455,1 days 06:30:00,301,1 days 06:30:00,240
184,1 days 06:40:00,391,1 days 06:40:00,451,1 days 06:40:00,304,1 days 06:40:00,242
185,1 days 06:50:00,375,1 days 06:50:00,464,1 days 06:50:00,313,1 days 06:50:00,254
186,1 days 07:00:00,385,1 days 07:00:00,457,1 days 07:00:00,308,1 days 07:00:00,244
187,1 days 07:10:00,384,1 days 07:10:00,451,1 days 07:10:00,312,1 days 07:10:00,254
188,1 days 07:20:00,380,1 days 07:20:00,449,1 days 07:20:00,317,1 days 07:20:00,247
189,1 days 07:30:00,381,1 days 07:30:00,445,1 days 07:30:00,308,1 days 07:30:00,257
190,1 days 07:40:00,384,1 days 07:40:00,447,1 days 07:40:00,318,1 days 07:40:00,254
191,1 days 07:50:00,382,1 days 07:50:00,461,1 days 07:50:00,314,1 days 07:50:00,247
192,1 days 08:00:00,386,1 days 08:00:00,463,1 days 08:00:00,319,1 days 08:00:00,243
193,1 days 08:10:00,386,1 days 08:10:00,473,1 days 08:10:00,334,1 days 08:10:00,257
194,1 days 08:20:00,379,1 days 08:20:00,468,1 days 08:20:00,328,1 days 08:20:00,248
195,1 days 08:30:00,384,1 days 08:30:00,473,1 days 08:30:00,326,1 days 08:30:00,252
196,1 days 08:40:00,388,1 days 08:40:00,460,1 days 08:40:00,324,1 days 08:40:00,256
197,1 days 08:50:00,386,1 days 08:50:00,475,1 days 08:50:00,330,1 days 08:50:00,254
198,1 days 09:00:00,381,1 days 09:00:00,473,1 days 09:00:00,321,1 days 09:00:00,276
199,1 days 09:10:00,379,1 days 09:10:00,476,1 days 09:10:00,320,1 days 09:10:00,258
200,1 days 09:20:00,383,1 days 09:20:00,485,1 days 09:20:00,318,1 days 09:20:00,258
201,1 days 09:30:00,384,1 days 09:30:00,492,1 days 09:30:00,338,1 days 09:30:00,276
202,1 days 09:40:00,384,1 days 09:40:00,492,1 days 09:40:00,340,1 days 09:40:00,266
203,1 days 09:50:00,383,1 days 09:50:00,487,1 days 09:50:00,334,1 days 09:50:00,268
204,1 days 10:00:00,386,1 days 10:00:00,488,1 days 10:00:00,321,1 days 10:00:00,274
205,1 days 10:10:00,399,1 days 10:10:00,488,1 days 10:10:00,330,1 days 10:10:00,275
206,1 days 10:20:00,392,1 days 10:20:00,479,1 days 10:20:00,332,1 days 10:20:00,273
207,1 days 10:30:00,387,1 days 10:30:00,486,1 days 10:30:00,343,1 days 10:30:00,269
208,1 days 10:40:00,394,1 days 10:40:00,478,1 days 10:40:00,338,1 days 10:40:00,271
209,1 days 10:50:00,392,1 days 10:50:00,496,1 days 10:50:00,340,1 days 10:50:00,274
210,1 days 11:00:00,395,1 days 11:00:00,497,1 days 11:00:00,339,1 days 11:00:00,284
211,1 days 11:10:00,390,1 days 11:10:00,493,1 days 11:10:00,343,1 days 11:10:00,279
212,1 days 11:20:00,392,1 days 11:20:00,507,1 days 11:20:00,342,1 days 11:20:00,281
213,1 days 11:30:00,385,1 days 11:30:00,494,1 days 11:30:00,338,1 days 11:30:00,281
214,1 days 11:40:00,396,1 days 11:40:00,504,1 days 11:40:00,349,1 days 11:40:00,270
215,1 days 11:50:00,392,1 days 11:50:00,509,1 days 11:50:00,339,1 days 11:50:00,279
216,1 days 12:00:00,394,1 days 12:00:00,498,1 days 12:00:00,342,1 days 12:00:00,278
217,1 days 12:10:00,383,1 days 12:10:00,499,1 days 12:10:00,348,1 days 12:10:00,280
218,1 days 12:20:00,397,1 days 12:20:00,504,1 days 12:20:00,341,1 days 12:20:00,284
219,1 days 12:30:00,401,1 days 12:30:00,513,1 days 12:30:00,337,1 days 12:30:00,289
220,1 days 12:40:00,392,1 days 12:40:00,490,1 days 12:40:00,331,1 days 12:40:00,282
221,1 days 12:50:00,380,1 days 12:50:00,499,1 days 12:50:00,347,1 days 12:50:00,274
222,1 days 13:00:00,389,1 days 13:00:00,490,1 days 13:00:00,335,1 days 13:00:00,279
223,1 days 13:10:00,394,1 days 13:10:00,496,1 days 13:10:00,347,1 days 13:10:00,277
224,1 days 13:20:00,403,1 days 13:20:00,504,1 days 13:20:00,338,1 days 13:20:00,273
225,1 days 13:30:00,393,1 days 13:30:00,505,1 days 13:30:00,345,1 days 13:30:00,277
226,1 days 13:40:00,392,1 days 13:40:00,504,1 days 13:40:00,349,1 days 13:40:00,290
227,1 days 13:50:00,400,1 days 13:50:00,517,1 days 13:50:00,350,1 days 13:50:00,285
228,1 days 14:00:00,394,1 days 14:00:00,513,1 days 14:00:00,341,1 days 14:00:00,282
229,1 days 14:10:00,399,1 days 14:10:00,510,1 days 14:10:00,338,1 days 14:10:00,284
230,1 days 14:20:00,396,1 days 14:20:00,522,1 days 14:20:00,342,1 days 14:20:00,281
231,1 days 14:30:00,396,1 days 14:30:00,530,1 days 14:30:00,340,1 days 14:30:00,292
232,1 days 14:40:00,401,1 days 14:40:00,522,1 days 14:40:00,347,1 days 14:40:00,289
233,1 days 14:50:00,389,1 days 14:50:00,521,1 days 14:50:00,349,1 days 14:50:00,285
234,1 days 15:00:00,401,1 days 15:00:00,519,1 days 15:00:00,350,1 days 15:00:00,291
235,1 days 15:10:00,399,1 days 15:10:00,538,1 days 15:10:00,347,1 days 15:10:00,289
236,1 days 15:20:00,395,1 days 15:20:00,538,1 days 15:20:00,358,1 days 15:20:00,304
237,1 days 15:30:00,402,1 days 15:30:00,533,1 days 15:30:00,359,1 days 15:30:00,311
238,1 days 15:40:00,398,1 days 15:40:00,529,1 days 15:40:00,357,1 days 15:40:00,297
239,1 days 15:50:00,393,1 days 15:50:00,537,1 days 15:50:00,339,1 days 15:50:00,300
240,1 days 16:00:00,401,1 days 16:00:00,539,1 days 16:00:00,348,1 days 16:00:00,304
241,1 days 16:10:00,403,1 days 16:10:00,535,1 days 16:10:00,351,1 days 16:10:00,291
242,1 days 16:20:00,402,1 days 16:20:00,539,1 days 16:20:00,355,1 days 16:20:00,290
243,1 days 16:30:00,401,1 days 16:30:00,534,1 days 16:30:00,354,1 days 16:30:00,308
244,1 days 16:40:00,405,1 days 16:40:00,534,1 days 16:40:00,356,1 days 16:40:00,295
245,1 days 16:50:00,393,1 days 16:50:00,531,1 days 16:50:00,362,1 days 16:50:00,305
246,1 days 17:00:00,389,1 days 17:00:00,527,1 days 17:00:00,364,1 days 17:00:00,295
247,1 days 17:10:00,400,1 days 17:10:00,523,1 days 17:10:00,366,1 days 17:10:00,290
248,1 days 17:20:00,385,1 days 17:20:00,537,1 days 17:20:00,364,1 days 17:20:00,293
249,1 days 17:30:00,394,1 days 17:30:00,543,1 days 17:30:00,374,1 days 17:30:00,289
250,1 days 17:40:00,392,1 days 17:40:00,541,1 days 17:40:00,380,1 days 17:40:00,295
251,1 days 17:50:00,389,1 days 17:50:00,556,1 days 17:50:00,375,1 days 17:50:00,296
252,1 days 18:00:00,405,1 days 18:00:00,547,1 days 18:00:00,375,1 days 18:00:00,299
253,1 days 18:10:00,399,1 days 18:10:00,544,1 days 18:10:00,379,1 days 18:10:00,299
254,1 days 18:20:00,394,1 days 18:20:00,551,1 days 18:20:00,383,1 days 18:20:00,302
255,1 days 18:30:00,395,1 days 18:30:00,558,1 days 18:30:00,379,1 days 18:30:00,298
256,1 days 18:40:00,415,1 days 18:40:00,567,1 days 18:40:00,382,1 days 18:40:00,310
257,1 days 18:50:00,399,1 days 18:50:00,571,1 days 18:50:00,382,1 days 18:50:00,294
258,1 days 19:00:00,394,1 days 19:00:00,569,1 days 19:00:00,385,1 days 19:00:00,297
259,1 days 19:10:00,390,1 days 19:10:00,571,1 days 19:10:00,374,1 days 19:10:00,298
260,1 days 19:20:00,400,1 days 19:20:00,569,1 days 19:20:00,379,1 days 19:20:00,293
261,1 days 19:30:00,388,1 days 19:30:00,558,1 days 19:30:00,391,1 days 19:30:00,291
262,1 days 19:40:00,393,1 days 19:40:00,572,1 days 19:40:00,388,1 days 19:40:00,301
263,1 days 19:50:00,400,1 days 19:50:00,566,1 days 19:50:00,378,1 days 19:50:00,294
264,1 days 20:00:00,397,1 days 20:00:00,570,1 days 20:00:00,387,1 days 20:00:00,303
265,1 days 20:10:00,385,1 days 20:10:00,568,1 days 20:10:00,394,1 days 20:10:00,310
266,1 days 20:20:00,389,1 days 20:20:00,558,1 days 20:20:00,395,1 days 20:20:00,301
267,1 days 20:30:00,398,1 days 20:30:00,578,1 days 20:30:00,376,1 days 20:30:00,312
268,1 days 20:40:00,407,1 days 20:40:00,577,1 days 20:40:00,384,1 days 20:40:00,310
