,02_DMSO alltime,02_DMSO alltime,03_10um alltime,03_10um alltime,04_500um alltime,04_500um alltime,05_Control 30 min removed,05_Control 30 min removed,06_DMSO30 min removed,06_DMSO30 min removed,07_10um 30 min removed,07_10um 30 min removed,08_500um 30 min removal,08_500um 30 min removal,09_Control 2h removal,09_Control 2h removal,10_DMSO 2h removal,10_DMSO 2h removal,11_10um 2h removal,11_10um 2h removal,12_500um 2h removal,12_500um 2h removal,01_Control,01_Control
,counts,time,counts,time,counts,time,counts,time,counts,time,counts,time,counts,time,counts,time,counts,time,counts,time,counts,time,counts,time
58,509,29.005135891770834,419,29.0104231104375,354,29.0155379664375,244,29.020945465104166,316,29.026176155770834,331,29.031465945104166,360,29.036440627770833,219,29.0418280544375,361,29.046976835770835,408,29.0522992304375,400,29.057358875770834,532,28.9999794384375
59,518,29.505244315770835,411,29.5104619504375,359,29.515600313104166,252,29.5210135104375,318,29.5261702384375,317,29.531486659770835,353,29.536640995770835,214,29.5421214464375,355,29.547210155770834,397,29.5525224464375,407,29.557659177104167,517,29.500000603770832
60,514,30.00521241977083,408,30.010432659770835,350,30.0155211264375,240,30.020873137104168,328,30.0261124064375,312,30.0314043824375,363,30.036470035770833,223,30.04178433977083,359,30.046922043770834,419,30.0520913104375,418,30.0572471424375,555,29.999967841104166
61,530,30.505093475770835,424,30.5104607664375,357,30.51545152377083,250,30.520814369104166,323,30.526097107770834,320,30.531362417104166,376,30.5365010944375,213,30.541957969104168,376,30.547050427770834,430,30.5523907744375,413,30.55744021177083,559,30.4999573344375
62,548,31.005150499770835,408,31.010417753104168,370,31.0155083744375,262,31.020901254437224,343,31.026157499770832,315,31.031404755770833,377,31.036529091770834,214,31.041933427770832,392,31.0470475904375,429,31.052310297104167,409,31.0573659504375,546,30.999941753104167
63,532,31.505154019770835,416,31.510402209104168,365,31.515566649104166,249,31.521039393104168,328,31.526244595770834,325,31.5315035184375,386,31.536641185104166,218,31.541950003770832,380,31.5470925664375,431,31.552381001104166,417,31.557470371770833,562,31.499945793104168
64,523,32.00520721977083,420,32.0104263824375,345,32.0156543984375,249,32.021083635770836,341,32.02632866510417,329,32.0315451904375,398,32.03670448910417,220,32.0419717104375,389,32.0471393424375,425,32.0524423264375,440,32.0574609664375,549,31.999934689104165
65,541,32.505150273104164,427,32.510423219770836,354,32.515546235770834,239,32.520975993104166,342,32.52621279577083,318,32.531411401104165,381,32.53644049177083,209,32.541792297104166,393,32.54698107577083,425,32.55216225177083,429,32.5572764144375,559,32.499932257103886
66,561,33.00511548110417,423,33.0104057904375,353,33.0155897104375,266,33.021043737104165,355,33.0262403664375,332,33.0314736944375,381,33.03654344377083,210,33.041941777104164,403,33.0470733344375,427,33.052296003770834,430,33.05744162510417,573,32.99991187310417
67,583,33.5050970784375,435,33.5103510704375,356,33.51550852910417,256,33.52091168910417,353,33.5261668224375,333,33.531459355770835,379,33.536536883770836,222,33.54178646510417,404,33.5469955584375,433,33.552230067770836,432,33.557385619770834,578,33.4999056944375
68,591,34.00513506777083,423,34.01040089710417,371,34.0155531504375,262,34.0209591904375,363,34.026206651770835,342,34.0314220304375,383,34.0365378224375,226,34.0418696624375,405,34.0470406304375,446,34.0523233344375,438,34.05738933710417,545,33.999902363770836
69,548,34.5050827744375,452,34.510319681104164,361,34.515439641104166,270,34.52082057710417,349,34.52612939310416,341,34.5314416144375,377,34.536588067770836,220,34.5419370224375,401,34.5471637904375,458,34.55251073177083,428,34.557628851770836,594,34.499888057104165
70,561,35.005039753104164,447,35.01032592910417,380,35.0152907824375,271,35.0207481424375,356,35.025964667770836,352,35.03134765177084,370,35.036549419770836,232,35.04193858510417,398,35.04714180910417,465,35.05242746510417,423,35.05751825977083,577,34.999871595770834
71,568,35.50508804910417,451,35.510296865104166,346,35.5154019984375,272,35.520770675770834,376,35.52605622777083,350,35.53135344910417,368,35.53655483310417,233,35.5419543104375,378,35.54710572910417,439,35.55233805177083,420,35.5574238464375,582,35.49987218510417
72,588,36.0051126944375,451,36.01039258777083,357,36.015445809104165,277,36.02084796110417,370,36.02611486777055,331,36.0313579904375,381,36.0364565264375,247,36.0418736064375,401,36.0470801664375,461,36.05227345977083,412,36.05745244910417,578,35.9998617264375
73,606,36.50501592110417,457,36.51023893710417,364,36.5154015024375,275,36.5207568464375,375,36.5259768784375,342,36.5312198944375,385,36.53645489177083,249,36.5417766944375,395,36.546908043770834,462,36.552302035770836,418,36.55747734510417,585,36.49988897977083
74,600,37.0050166464375,449,37.01022830777083,360,37.0152659424375,289,37.02069475843722,372,37.02593680377083,342,37.03113620910417,395,37.036241203770835,254,37.041525403770834,385,37.046674459770834,456,37.0518457424375,422,37.0571608064375,593,36.99986196377083
75,619,37.5050912224375,438,37.51028368110417,362,37.515396315770836,276,37.52078419577084,371,37.5261415184375,353,37.5313634944375,378,37.536486475770836,232,37.54181852110417,389,37.54697264910417,470,37.55224983310416,419,37.55747601177083,620,37.499837057104166
76,635,38.0050758624375,443,38.0103730144375,360,38.0154506464375,286,38.02081029710417,376,38.02599129977083,346,38.03125379577083,391,38.036409033104164,239,38.041845457104166,413,38.04701482777083,469,38.052328227770836,415,38.05742766777083,621,37.999847395770836
77,618,38.504989395770835,457,38.5102291824375,359,38.515415913104164,278,38.520853203770834,381,38.526110769104164,361,38.53129642510389,392,38.536371731770835,235,38.541768049104164,429,38.54698603310417,476,38.552210681104164,415,38.55735435577083,602,38.4998104064375
78,616,39.0051361904375,472,39.01043198510417,350,39.0156193424375,293,39.020914825104164,396,39.02612277177084,368,39.03134596377083,385,39.036454499770834,254,39.0418601584375,404,39.04706466777083,468,39.05245056910417,420,39.057418929104166,594,38.9998396304375
79,619,39.50502680377083,467,39.5102273904375,353,39.51526356377083,304,39.520726097104166,385,39.525994601104166,367,39.5312073744375,406,39.5363476464375,240,39.54169653443722,415,39.54689600910417,459,39.5521804144375,412,39.55725079310417,603,39.499800939770836
80,632,40.0049995664375,463,40.010190881104165,355,40.0152343824375,292,40.02064896377083,402,40.02592222510417,368,40.031244651770834,391,40.0363529104375,234,40.04182912377083,400,40.0470089824375,443,40.0523042224375,420,40.0573808144375,597,39.9997752304375
81,652,40.50492795577083,463,40.510129201104164,376,40.51522735577083,288,40.520628881104166,396,40.5258489104375,367,40.5311456464375,387,40.53617956110417,236,40.541529489104164,395,40.54673889710417,446,40.552097643770836,423,40.557253819770835,581,40.4997858064375
82,695,41.00504225177083,453,41.01031440110417,344,41.01537508910417,301,41.0207897744375,380,41.02602067577083,357,41.0313297344375,393,41.036390145104164,236,41.04167521177083,435,41.04683902777084,471,41.0521846144375,413,41.0573120064375,626,40.9998103104375
83,665,41.5049957504375,459,41.51033956910417,338,41.515511681104165,279,41.5209482784375,401,41.52615594777083,358,41.53144052910417,386,41.5365021184375,254,41.54184409710417,420,41.546973953104164,460,41.552314123770834,419,41.557490785104164,620,41.49976308110416
84,663,42.00497188910417,448,42.0101964704375,365,42.01533743577083,293,42.02073882510417,404,42.026031009104166,352,42.03125753710417,393,42.0363085344375,239,42.041710961104165,430,42.04691578510417,465,42.0521426544375,436,42.05729542777083,613,41.9997793584375
85,680,42.504966153104164,462,42.510193545104165,370,42.51535270777083,294,42.52084107577083,390,42.52617933710417,360,42.531357595770835,389,42.536465889104164,258,42.5417866864375,427,42.54695393710416,468,42.5522378224375,425,42.55725927577083,613,42.4997495264375
86,662,43.004993931770834,470,43.0101711504375,360,43.015235657104164,294,43.02065065710417,403,43.0258904784375,360,43.03111967577083,381,43.036172483770834,251,43.0414602944375,451,43.046612857104165,484,43.051827785104166,414,43.056974723770836,634,42.9997326864375
87,672,43.50494257177083,456,43.5102216304375,378,43.5154618704375,306,43.52090502777083,414,43.52611818510417,364,43.5313235984375,405,43.536546406437225,257,43.541900779770835,433,43.5469924064375,474,43.552292819770834,428,43.557391563770835,670,43.499759451770835
88,692,44.00494374777083,468,44.010211939770834,367,44.01539655310417,303,44.020833219770836,412,44.02603720910417,372,44.031235987770835,390,44.036358137104166,265,44.041763865104166,442,44.0469037904375,471,44.052158473104164,427,44.05715395310417,629,43.9997069824375
89,679,44.504869331770834,471,44.5100437024375,371,44.5151677264375,306,44.520575155770835,434,44.5258122704375,357,44.53110157177083,383,44.53620701710417,261,44.541613371770836,436,44.5466987824375,498,44.5518977024375,423,44.5571327664375,660,44.49971117710417
90,701,45.0049582144375,489,45.01021567577083,379,45.01529698777083,303,45.020704139770835,399,45.02595764377083,377,45.031225209104164,406,45.0364148224375,263,45.0417697504375,433,45.04702241977083,493,45.05236568377083,432,45.05745963577083,644,44.9997047104375
91,725,45.504954905104164,482,45.51015750510417,369,45.515170971770836,313,45.52056176910417,407,45.52583721710417,367,45.5311734624375,399,45.53631679310417,264,45.5417010624375,424,45.5468719584375,485,45.55210765177083,433,45.55726309710417,652,45.4996901184375
92,722,46.00495635577084,477,46.010193193104165,377,46.0153008944375,304,46.020699713104165,430,46.0259464464375,385,46.03126911577083,416,46.036393971770835,255,46.0417997344375,448,46.0470613984375,480,46.05239014510417,423,46.05741930777056,656,45.99971934510417
93,721,46.504882769104164,496,46.51012936377084,389,46.51522699577083,310,46.520684705104166,423,46.52588383310417,368,46.53122768377084,396,46.53623139310417,265,46.54154545177083,446,46.5467708304375,479,46.55201478510417,424,46.5573288464375,652,46.4996764544375
94,758,47.004917313104166,474,47.010148315770834,368,47.0153292144375,303,47.02081567310417,447,47.0259808064375,370,47.0312035104375,400,47.03628659577083,283,47.04174385177083,445,47.04693860377083,474,47.052314785104166,408,47.057409083770835,645,46.999665339770836
95,745,47.5048941824375,475,47.510155635770836,369,47.5152420544375,319,47.52074597710417,430,47.5259404544375,378,47.5312504144375,392,47.5363327024375,279,47.54172554777083,453,47.54695648110417,469,47.55224081977083,412,47.557391995770836,659,47.49965192910417
96,797,48.00487129710417,484,48.01009330777083,368,48.015226531770836,320,48.02061708377083,425,48.0258822544375,381,48.03119801710417,421,48.036339505104166,282,48.0417774544375,454,48.04688737977083,480,48.05210810510417,422,48.057145737104165,667,47.99968140643722
97,738,48.504957409104165,483,48.5101705984375,372,48.515257225104165,288,48.520847609104166,408,48.5260751744375,370,48.5313046144375,403,48.53636561710417,274,48.541643843770835,462,48.5468349904375,479,48.5521460224375,422,48.557174803770835,670,48.4996598064375
98,783,49.00489401177083,474,49.0101946704375,386,49.01527216377083,313,49.0207250464375,426,49.025962091770836,376,49.031244449104165,399,49.036344339770835,283,49.04162770510417,470,49.046841659770834,467,49.05225627577083,421,49.05732581977083,699,48.99962151577083
99,746,49.504919025104165,475,49.5101547504375,384,49.515224363770834,314,49.5206760304375,421,49.52585168377083,378,49.53115546777083,403,49.53627431577083,285,49.541612369104165,477,49.5468044144375,480,49.5520836464375,416,49.55722885177083,681,49.49965361177083
100,742,50.00485590777083,477,50.0101284064375,369,50.015311699770834,310,50.02069836377083,441,50.025883049104166,362,50.031149121104164,389,50.03623074777083,286,50.0416273424375,489,50.0467453584375,485,50.05207605177083,420,50.057129451770834,702,49.9996000784375
